message,n_concepts
"(1, 1, 1, 0)",7
"(1, 1, 8, 0)",1
"(1, 1, 12, 0)",1
"(1, 2, 2, 0)",1
"(1, 7, 1, 0)",1
"(1, 12, 1, 0)",1
"(1, 12, 12, 0)",1
"(2, 1, 2, 0)",1
"(2, 2, 2, 0)",5
"(3, 3, 3, 0)",8
"(3, 6, 6, 0)",1
"(3, 9, 9, 0)",1
"(4, 4, 4, 0)",17
"(6, 6, 6, 0)",14
"(6, 6, 15, 0)",2
"(6, 15, 6, 0)",3
"(6, 15, 15, 0)",1
"(7, 1, 1, 0)",1
"(7, 7, 7, 0)",2
"(8, 1, 8, 0)",1
"(8, 8, 1, 0)",1
"(8, 8, 8, 0)",2
"(9, 9, 3, 0)",1
"(9, 9, 9, 0)",20
"(9, 9, 15, 0)",1
"(9, 15, 9, 0)",1
"(12, 1, 12, 0)",1
"(12, 12, 12, 0)",2
"(14, 14, 14, 0)",20
"(15, 6, 6, 0)",3
"(15, 9, 9, 0)",2
"(15, 9, 15, 0)",1
"(15, 15, 15, 0)",6
