message,symbols,fixed attribute values
"(1, 1, 1, 0)",[{1}],"[3, '_']"
"(1, 1, 8, 0)","[{8, 1}]","[3, '_']"
"(1, 1, 12, 0)","[{1, 12}]","[1, 3]"
"(1, 2, 2, 0)","[{1, 2}]","[0, 3]"
"(1, 7, 1, 0)","[{1, 7}]","[2, 3]"
"(1, 12, 1, 0)","[{1, 12}]","[1, 3]"
"(1, 12, 12, 0)","[{1, 12}]","[1, 3, '_']"
"(2, 1, 2, 0)","[{1, 2}]","[0, 3, '_']"
"(2, 2, 2, 0)",[{2}],"[0, '_']"
"(3, 3, 3, 0)",[{3}],"[1, '_']"
"(3, 6, 6, 0)","[{3, 6}]","[1, 2, '_']"
"(3, 9, 9, 0)","[{9, 3}]","[0, 1, 3]"
"(4, 4, 4, 0)",[{4}],"[1, '_']"
"(6, 6, 6, 0)",[{6}],"[2, '_']"
"(6, 6, 15, 0)","[{6, 15}]","[0, 2, '_']"
"(6, 15, 6, 0)","[{6, 15}]","[0, 2, '_']"
"(6, 15, 15, 0)","[{6, 15}]","[0, 2]"
"(7, 1, 1, 0)","[{1, 7}]","[2, 3]"
"(7, 7, 7, 0)",[{7}],"[3, '_']"
"(8, 1, 8, 0)","[{8, 1}]","[3, '_']"
"(8, 8, 1, 0)","[{8, 1}]","[3, '_']"
"(8, 8, 8, 0)",[{8}],"[3, '_']"
"(9, 9, 3, 0)","[{9, 3}]","[0, 1]"
"(9, 9, 9, 0)",[{9}],"[0, '_']"
"(9, 9, 15, 0)","[{9, 15}]","[0, 2]"
"(9, 15, 9, 0)","[{9, 15}]","[0, 2]"
"(12, 1, 12, 0)","[{1, 12}]","[1, 3, '_']"
"(12, 12, 12, 0)",[{12}],"[1, '_']"
"(14, 14, 14, 0)",[{14}],"[2, '_']"
"(15, 6, 6, 0)","[{6, 15}]","[0, 2, '_']"
"(15, 9, 9, 0)","[{9, 15}]","[0, '_']"
"(15, 9, 15, 0)","[{9, 15}]","[0, '_']"
"(15, 15, 15, 0)",[{15}],"[0, '_']"
