fixed attribute values,message
"(0, 0, 2)","[(9, 9, 15, 0), (9, 15, 9, 0)]"
"(0, 0, '_')","[(15, 9, 9, 0), (15, 9, 15, 0)]"
"(0, 1, 1)","[(9, 9, 3, 0)]"
"(0, 1, 3)","[(3, 9, 9, 0)]"
"(0, '_', '_')","[(9, 9, 9, 0)]"
"(1, '_', '_')","[(4, 4, 4, 0)]"
"(2, 0, 2)","[(6, 15, 15, 0)]"
"(2, 0, '_')","[(6, 6, 15, 0), (6, 15, 6, 0), (15, 6, 6, 0)]"
"(2, 1, '_')","[(3, 6, 6, 0)]"
"(2, '_', '_')","[(6, 6, 6, 0)]"
"(3, 3, 0)","[(1, 2, 2, 0)]"
"(3, 3, 1)","[(1, 1, 12, 0), (1, 12, 1, 0)]"
"(3, 3, 2)","[(1, 7, 1, 0), (7, 1, 1, 0)]"
"(3, '_', '_')","[(7, 7, 7, 0)]"
"('_', 0, '_')","[(15, 15, 15, 0)]"
"('_', 1, '_')","[(3, 3, 3, 0)]"
"('_', 2, '_')","[(14, 14, 14, 0)]"
"('_', 3, 0)","[(2, 1, 2, 0)]"
"('_', 3, 1)","[(1, 12, 12, 0), (12, 1, 12, 0)]"
"('_', 3, 3)","[(1, 1, 8, 0), (8, 1, 8, 0), (8, 8, 1, 0)]"
"('_', 3, '_')","[(1, 1, 1, 0)]"
"('_', '_', 0)","[(2, 2, 2, 0)]"
"('_', '_', 1)","[(12, 12, 12, 0)]"
"('_', '_', 3)","[(8, 8, 8, 0)]"
