message,n_concepts
"(1, 1, 1, 0)",1
"(1, 1, 2, 0)",6
"(1, 1, 4, 0)",8
"(1, 1, 11, 0)",1
"(1, 1, 13, 0)",1
"(1, 1, 14, 0)",9
"(1, 2, 13, 0)",2
"(1, 13, 2, 0)",2
"(1, 13, 13, 0)",1
"(1, 14, 14, 0)",18
"(1, 15, 1, 0)",9
"(1, 15, 14, 0)",7
"(2, 2, 1, 0)",1
"(2, 2, 2, 0)",3
"(2, 2, 10, 0)",6
"(2, 2, 13, 0)",7
"(2, 4, 4, 0)",7
"(2, 10, 4, 0)",8
"(3, 3, 8, 0)",7
"(3, 3, 11, 0)",5
"(3, 3, 12, 0)",9
"(3, 3, 13, 0)",2
"(3, 5, 3, 0)",7
"(3, 5, 5, 0)",1
"(3, 5, 12, 0)",9
"(3, 12, 12, 0)",5
"(3, 13, 4, 0)",8
"(3, 13, 5, 0)",3
"(4, 3, 4, 0)",1
"(4, 3, 5, 0)",7
"(4, 3, 8, 0)",10
"(4, 4, 4, 0)",7
"(4, 5, 14, 0)",8
"(4, 8, 5, 0)",9
"(4, 8, 8, 0)",5
"(4, 10, 4, 0)",8
"(4, 13, 4, 0)",6
"(4, 13, 13, 0)",2
"(4, 14, 14, 0)",8
"(5, 2, 2, 0)",4
"(5, 3, 12, 0)",5
"(5, 3, 15, 0)",2
"(5, 4, 3, 0)",1
"(5, 4, 5, 0)",11
"(5, 4, 14, 0)",5
"(5, 5, 4, 0)",5
"(5, 5, 5, 0)",7
"(5, 5, 12, 0)",11
"(5, 5, 13, 0)",8
"(5, 5, 14, 0)",8
"(5, 5, 15, 0)",18
"(5, 12, 5, 0)",2
"(5, 12, 12, 0)",4
"(5, 12, 15, 0)",5
"(5, 13, 2, 0)",3
"(5, 13, 13, 0)",8
"(5, 14, 2, 0)",1
"(5, 14, 14, 0)",9
"(5, 14, 15, 0)",12
"(7, 3, 8, 0)",8
"(7, 3, 11, 0)",1
"(7, 3, 12, 0)",5
"(7, 11, 11, 0)",6
"(7, 12, 3, 0)",2
"(7, 15, 12, 0)",1
"(8, 3, 8, 0)",8
"(8, 4, 8, 0)",6
"(8, 4, 13, 0)",9
"(8, 5, 14, 0)",9
"(8, 8, 5, 0)",8
"(8, 8, 8, 0)",6
"(8, 8, 12, 0)",9
"(8, 11, 11, 0)",8
"(8, 12, 3, 0)",2
"(8, 12, 5, 0)",8
"(8, 12, 8, 0)",1
"(8, 12, 12, 0)",5
"(8, 12, 15, 0)",1
"(10, 1, 1, 0)",1
"(10, 1, 15, 0)",3
"(10, 4, 13, 0)",5
"(10, 10, 2, 0)",4
"(10, 10, 10, 0)",7
"(10, 10, 13, 0)",3
"(10, 12, 1, 0)",9
"(10, 12, 10, 0)",7
"(10, 12, 12, 0)",10
"(10, 12, 15, 0)",7
"(10, 13, 1, 0)",6
"(10, 13, 13, 0)",7
"(10, 14, 1, 0)",8
"(10, 14, 14, 0)",3
"(10, 14, 15, 0)",8
"(10, 15, 1, 0)",6
"(10, 15, 15, 0)",6
"(11, 11, 4, 0)",4
"(11, 11, 11, 0)",1
"(12, 3, 12, 0)",4
"(12, 5, 12, 0)",1
"(12, 12, 3, 0)",3
"(12, 12, 12, 0)",1
"(12, 14, 12, 0)",1
"(12, 15, 12, 0)",5
"(12, 15, 14, 0)",2
"(13, 2, 2, 0)",1
"(13, 3, 5, 0)",1
"(13, 4, 4, 0)",8
"(13, 5, 13, 0)",1
"(13, 13, 1, 0)",1
"(13, 13, 2, 0)",2
"(13, 13, 5, 0)",3
"(13, 13, 13, 0)",5
"(14, 1, 1, 0)",5
"(14, 1, 2, 0)",6
"(14, 1, 14, 0)",13
"(14, 1, 15, 0)",6
"(14, 2, 4, 0)",7
"(14, 5, 3, 0)",2
"(14, 5, 5, 0)",2
"(14, 5, 12, 0)",7
"(14, 5, 13, 0)",9
"(14, 12, 5, 0)",8
"(14, 14, 4, 0)",7
"(14, 14, 5, 0)",3
"(14, 14, 12, 0)",7
"(14, 14, 14, 0)",10
"(14, 15, 1, 0)",14
"(14, 15, 15, 0)",1
"(15, 1, 15, 0)",7
"(15, 14, 12, 0)",9
"(15, 14, 15, 0)",12
"(15, 15, 10, 0)",1
"(15, 15, 15, 0)",6
